label,sentence
1,"می خواهیم زندگی بیماران زیادی را نجات دهیم❤️ تنها با یک آزمایش ساده خون و ثبت نام در بانك سلول بنیادی ايران "
1,"مسیر موفقیت در ایران :) "
1,"یکی از بزرگان سینمای ایران... همیشه تو قلبمون جا داری ناصر ملک مطیعی"
1," دم ملت ایران گرم!"
1," این هم عقاب ایران بود  می خواست با یک جنگده بیاد  ما رو  آزاد کنه 🤣🤣🤣 "
1,"بسکتبال بانوان ایران آینده روشنی دارد "
1," درود بر شما ایران آزاد۹۷"
1,"🌹🌹🌹🌹🌹🌹  🔴 سالروز ۲۱ سالگی  ✳️ جنبش دوم خرداد  🔴 بر همه عاشقان ایران مبارک باد   🌹🌹🌹🌹🌹🌹 "
1,"ایران به دنبال صلح است+فیلم  "
1,"ایران چگونه قدرت برتر منطقه شد "
1,"⁣استان فارس یکی از استان های گردشگری ایران هست که پر از جاذبه های گردشگری زیبا و متنوع هست😍 برای دانستن همه چیز از این استان بر روی لینک زیر کلیک کنید👇  "
1,"ایران من زیباست"
1,"کنفرانس: پیام صلح و آزادی اسلام رمضان ایران  …"
1,"ایران در اوووووج اقتدار😂😂 "
1,"افزایش سفر گردشگران آذربایجانی به ایران  "
1," مرسی ایران"
1,"دورد به شرفشون افتخار ایران اند این مردان "
1," درود بر مقاومت ایران"
1,"💢 امید به آینده در چهره‌ی مرد روستایی  ایران زیباترین وطن "
0," در ایران  درد و رنج بر ثانیه..."
0,"📽 صحبتهای شجاعانه یک زن زلزله زده:  کربلای ما ایران است! سینه بزنید برای دختران خیابانی برای کودکان کار.. "
0,"همه جای ایران زندان من است"
0,"  ماکه تو ایران هستیم و با این وضع دلار نمیشه خرید"
0,"ناصر ملک‌مطیعی درگذشت  ایران"
0,"نبود ارز نقد و مشکل شرکتهای هواپیمایی رژیم ایران، پیآمد تحریم ها "
0,"New post in Iran Protests Map نقشه قیام ایران: یکشنبه ۶ خرداد ۹۷  تهران جمعی از معلمان حق‌التدریسی در اعتراض به ضعیت استخدامی خود مقابل مجلس شورا تجمع اعتراضی برگزار کردند   "
0,"تجمع اعتراضی دانشجویان دانشکده هنر و معماری دانشگاه آزاد اسلامی واحد تهران  مرکز  ایران برانداز  تظاهرات سراسرى  IranRegimeChange "
0,"حملە نیروی انتظامی بە مردمی کە بر خلاف خواست نظام در مراسم وداع با ناصر ملک مطیعی شرکت کردند. تغییر نظام گزینە نیست بلکە یگانە راە پایان مصیبت و سقوط ایران است. "
0,"  من که به جایی نرسیدم. دنبال کردیت کارت هستم که متاسفانه هیچ کسی تو ایران صادر نمیکنه"
0,"تو ایران یه تلویزیون خوب یه تلویزیون خاموشه ... صداوسيما"
0,"آنها ک کودکان کار در ایران، ناراحتشان نمیکند، جستجوی غذا در سطل زباله توسط کودکان گرسنه، قلبشان را نمی‌فشارد، بازماندن کودکان فقیر از تحصیل، برایشان اهمیتی ندارد، اما برای شکستن ناخن کودکان غزه، سوریه و یمن فریاد وامصیبتا سر میدهند، بزرگترین خائنان این سرزمین درطول تاریخ‌اند"
0," اونجوری به نفع همه ست،ایران همه چیش مشکل دار و مریضه"
0,"اسکار غم انگیز ترین لحظه هم میرسه به تمام لحظات زندگی در ایران"
0," شنیدم یه چیزایی :/ غمگینم، برای ایران، برای همه آدم‌های معمولی ایران :/"
0," واقعا مردم ما هنووووز اینقدر بدبخت نشدن که مملکت رو بدن دست امثال افراد کثیف و قاتلی مثل شما !!! ایران"
0," نمایی از کل ایران،همینقدر غمناک"
0,"فقط دختربودن توی ایران سخت نیس آدم بودنم توی ایران سخته"
0,"  حوصله ندارم متاسفانه جوابتو بدم اما نمیدونم چه اصراری داری ما رو درگیر احزابی کنی که اصلا درموردشون هیچ حرفی نزدم! علاقه‌ایی به سیاست خارج از ایران ندارم و شما هم لازم نکرده مردم رو تحریک به تجزیه و تفرقه کنید. خطرناکتر از شما افراطی‌ها وجود نداره هرکاری میکنید برای قدرت!"
